EAR,MAR,MOE,Y
0.3522545255114691,2.0988590358964574,5.9583593222796525,0.0
0.3243409679905807,1.695002655123294,5.225989999427144,0.0
0.3677277279516253,1.6112095009934146,4.381528447605588,0.0
0.3266775377918476,1.5062155688344088,4.610710546600664,0.0
0.2046907211341522,1.4785817300270936,7.223491723682217,0.0
0.3222489855008155,1.5549811602516317,4.825402810298983,0.0
0.3482198421786516,1.5541517631829795,4.463133845157604,0.0
0.2845396045581932,1.6306750566513517,5.730924730788576,0.0
0.2965421391011872,1.495765199224647,5.044022423788669,0.0
0.3515815355355596,1.44347701827408,4.1056678817766965,0.0
0.3335250861409609,1.5129301703042703,4.536181034564958,0.0
0.3328201177351375,1.59081262908063,4.779797086504907,0.0
0.3379047353174748,1.8265724256474225,5.405583984880489,0.0
0.3405395812477108,1.7596023850702351,5.16710092443054,0.0
0.2840801432056559,1.6929426399160998,5.959383928817992,0.0
0.2436872238974252,2.160840470635552,8.867270249445285,0.0
0.2813348075463117,2.465636177768696,8.764063712105076,0.0
0.2874963742440695,2.1732466002571327,7.5592139412936,0.0
0.31685852735847,2.228914696244488,7.034416005231448,0.0
0.3217457308855164,2.4505549734489804,7.61643353185916,0.0
0.2918927452801467,2.3555490226793294,8.069912873026595,0.0
0.3407720381878814,2.122535007597772,6.228606721621722,0.0
0.3156817925112105,2.9651951230899765,9.392987474830928,0.0
0.3310952583275594,2.685916698097545,8.112217346949473,0.0
0.3384666233462582,2.255965768985435,6.665253272779975,0.0
0.3231895001440923,2.757144582926529,8.531046279960428,0.0
0.2729084170908039,2.425405345838989,8.887250058806332,0.0
0.3549467564209914,2.5560725025367854,7.201284294890434,0.0
0.3235184725572546,2.5726598603923345,7.952126628370621,0.0
0.3205633839928947,2.4864185401976,7.756402210468026,0.0
0.32708287392103,2.40320839378104,7.3473990397958415,0.0
0.3405395812477108,2.6957730264292272,7.916181186786343,0.0
0.3103019682558155,2.4270684319060294,7.821634021686688,0.0
0.340140520433616,1.709723770987465,5.026521888094617,0.0
0.2644238824884555,1.8923242518624344,7.156404459589808,0.0
0.3073010657051071,1.7368297789401124,5.651883357302811,0.0
0.3219375272701484,1.5646361696187907,4.860061462501861,0.0
0.3487758106277812,1.529431238552078,4.38514137720494,0.0
0.2781913058149917,1.6172241314039228,5.81335252971364,0.0
0.2262992383607316,1.5316706343029216,6.768341976747473,0.0
0.3200310904993766,1.568991960414439,4.9026235481252245,0.0
0.275292802805592,1.51321498837107,5.496747364803729,0.0
0.2698345906607564,1.6357050272363671,6.061880440276174,0.0
0.2858097394549743,1.5582601197578758,5.452088941158564,0.0
0.2537029103006545,1.5084205655674767,5.945617903160432,0.0
0.2782653131539395,1.524359150103164,5.47807821544711,0.0
0.3187163354560685,1.5178460150131483,4.762372825481882,0.0
0.2993815785516656,1.517628375169242,5.069210946482261,0.0
0.2943988756239686,1.5173953400604132,5.154215812965808,0.0
0.2613317983778913,1.5333113204464597,5.867297167676697,0.0
0.3067162716504337,1.4480944656213677,4.72128347749274,0.0
0.3055260887966697,1.5094230719526067,4.940406489990912,0.0
0.3105993385123274,1.5013802064679855,4.833816497031584,0.0
0.2476170567515208,1.470320633044481,5.937881066569338,0.0
0.2669997919266772,1.5575532377769976,5.8335372718370095,0.0
0.3013084232314348,1.6650335525234703,5.526010639418996,0.0
0.3189526128295068,1.537084037658248,4.81916114128177,0.0
0.3057537629397679,1.6048401299929804,5.248799277440542,0.0
0.293832125359301,1.5561763223493583,5.296140850652221,0.0
0.2933072627352875,1.6255610872298107,5.542178097024808,0.0
0.3372076499116784,1.6201012702604487,4.804461792859048,0.0
0.317453618199266,1.5620374923683176,4.920521937122245,0.0
0.361613454870681,1.4719088858745293,4.07039302893447,0.0
0.313944826503325,1.572316769061808,5.008258255356712,0.0
0.3593826856057727,1.5615829370456542,4.345181333411936,0.0
0.3792691942243097,1.5565688260574655,4.104126698824029,0.0
0.3401281577501024,1.5934547430327632,4.684865709364467,0.0
0.3331093999394996,1.6126957502872907,4.841339663726672,0.0
0.3268873838639837,1.6511187876758835,5.051032463103276,0.0
0.3217888249344495,1.607745007286973,4.99627358909832,0.0
0.3238677748628242,1.5046945665143887,4.646015081777461,0.0
0.3080626737001188,1.5825443287590817,5.137085612324448,0.0
0.3052357705048698,1.6070696030640923,5.265010717472424,0.0
0.3328201177351375,1.5887410325430753,4.773572713556384,0.0
0.3065241565089079,1.632256674414684,5.325050700750396,0.0
0.3440750437143416,1.5108600747875416,4.391077186178864,0.0
0.2606554540487872,2.1213826032211207,8.138646516961268,0.0
0.3282837430228785,2.259194684990921,6.881835403081396,0.0
0.3419014828989254,2.5286467240073853,7.395834327969018,0.0
0.3134870199468024,2.239443502722404,7.143656228900417,0.0
0.357418245054183,2.705449482271788,7.56942187397751,0.0
0.3302730145592602,2.30138517303212,6.96812961271829,0.0
0.3644626918692856,2.5287703455230863,6.938351721415779,0.0
0.3458185069160043,2.047690019880644,5.921285237571181,0.0
0.3255559500969445,2.0258762298106507,6.222820468209481,0.0
0.3373453625937528,1.9097937793189987,5.661242130720685,0.0
0.3420531031218909,1.3955183594431504,4.079829554845044,0.0
0.3258995118993708,1.8373214282625687,5.63769309611573,0.0
0.3230986382330489,1.8598984774406533,5.756441709603,0.0
0.3234492262543699,1.89215663435301,5.849934026012982,0.0
0.2836421962884909,1.7497677669678235,6.16892616776999,0.0
0.3305465852332649,1.771416000927307,5.359050978176732,0.0
0.3028732708023313,1.7146864175803689,5.661398950914523,0.0
0.3025449851485017,1.8108934499450573,5.985534511689874,0.0
